Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),Photo ID,X,Y,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Subtype 2 (Finnish),Rock type (Finnish),PhotoID,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Ajoitusperuste,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Stone art (Finnish)
SA,309010002,Outokumpu,Sätös,KM,17284,140.0,6959520.0,3607260.0,86,False,False,False,True,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 17284_140,"29,09388764","62,72424211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,309010002,Outokumpu,Sätös,KM,17284,328.0,6959520.0,3607260.0,86,False,False,False,True,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 17284_328,"29,09388764","62,72424211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,309010002,Outokumpu,Sätös,KM,17284,525.0,6959520.0,3607260.0,86,False,False,False,True,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 17284_525,"29,09388764","62,72424211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,494010040,Muhos,Halosentörmä,KM,17646,143.0,7200150.0,3442850.0,"32,5",False,False,False,False,False,False,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 17646_143,"25,78968889","64,89353249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,494010040,Muhos,Halosentörmä,KM,17646,163.0,7200150.0,3442850.0,"32,5",False,False,False,False,False,False,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 17646_163,"25,78968889","64,89353249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,285010033,Kotka,Tuuli,KM,17687,42.0,6718400.0,3499820.0,15,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,"""ravunmuotoinen"" iso pala",KM 17687_42,"26,99362126","60,57617287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,912010046,Sastamala,Liekolankatu,KM,18251,724.0,6810662.0,3281080.0,60,False,False,False,False,True,True,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 18251_724,"22,90481686","61,34245845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,1000012003,Utajärvi,Pikkarainen ja Vesala,KM,18562,36.0,7173070.0,3473470.0,100,False,False,False,False,True,True,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,35.0,25.0,10.0,,,,,KM 18562_36,"26,44119883","64,65450242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,1000012003,Utajärvi,Pikkarainen ja Vesala,KM,18562,81.0,7173070.0,3473470.0,100,False,False,False,False,True,True,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,30.0,15.0,6.0,,,,,KM 18562_81,"26,44119883","64,65450242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010009,Evijärvi,Timonen 1,KM,18710,98.0,7044415.0,3317898.0,60,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,ei mittoja,KM 18710_98,"23,34449807","63,45479043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,248010002,Kitee,Sirnihta,KM,18910,236.0,6867261.0,3640136.0,78,False,False,False,False,True,False,False,False,True,True,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,"2 kpl, toinen levy",KM 18910_236,"29,6618031","61,88631442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010009,Evijärvi,Timonen 1,KM,19050,173.0,7044415.0,3317898.0,60,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,hampaanjälkiä,KM 19050_173,"23,34449807","63,45479043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010009,Evijärvi,Timonen 1,KM,19050,492.0,7044415.0,3317898.0,60,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 19050_492,"23,34449807","63,45479043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010052,Evijärvi,Kotikangas,KM,19261,361.0,7043477.0,3318676.0,65,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,,,,,,,,KM 19261_361,"23,36113076","63,44678977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,91010026,Helsinki,Vartiokylän linnavuori,KM,19270,12.0,6680427.0,3396105.0,,False,False,False,False,False,False,False,False,False,False,True,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,22.0,18.0,12.0,,,,,KM 19270_12,"25,1222806","60,22207132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,92010031,Vantaa,Jönsas,KM,19275,439.0,6685309.0,3381283.0,31,False,False,True,False,False,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,33.0,27.0,10.0,,,,,KM 19275_439,"24,85217506","60,26180494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,853010029,Turku,Kanttorinmäki,KM,19808,743.0,6714757.0,3241322.0,23,False,False,False,False,False,False,True,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,hampaanjälkiä,KM 19808_743,"22,2929244","60,46037285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
