Phase;Site id;Municipality;Site name;p;i;z;Collection;Main number;Subnumber;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Other notes (Finnish);Photo ID
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;33;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_33
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;34;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_34
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_35
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;36;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_36
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;37;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_37
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;38;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_38
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;39;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_39
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;40;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_40
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;41;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_41
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_42
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12915;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net fragment;Verkkolöytö;;KM 12915
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12915;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net fragment;Verkkolöytö;;KM 12915
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12915;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;kohoja noin 670 kpl;KM 12915
SA;1000034813;Heinola;Ketlahti 2;6800286;3453317;;KM;12923;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;eläimenpää;KM 12923_1
SA;1000034813;Heinola;Ketlahti 2;6800286;3453317;;KM;12923;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 12923_2
SA;781010037;Sysmä;Syvälänpelto;6815930;3430940;80;KM;13016;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 13016
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_1
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_2
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_3
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_4
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_5
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;6;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_6
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_7
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_8
SA;249040013;Keuruu;Suolahti Majalahti;6914174;3380437;108;KM;13120;9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 13120_9
SA;uusi 2130;Pedersöre;Nordanå;7052276;3303383;;KM;13293;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Paddle;Paddle;Mela;;KM 13293
