Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;50010033;Eura;Kolmhaara;KM;14717;5;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;FALSE;45;28;22;;;;iso pala;KM 14717_5
SA;50010033;Eura;Kolmhaara;KM;14717;6;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Tongue-shaped amber pendant;Meripihkariipus, kielimäinen;1;FALSE;16;13;5;;;;lähinnä kielenmuotoinen;KM 14717_6
SA;50010033;Eura;Kolmhaara;KM;14717;7;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Round amber pendant;Meripihkariipus, pyöreä;1;FALSE;;;;28;22;6;;KM 14717_7
SA;50010033;Eura;Kolmhaara;KM;14717;8;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber ring;Amber ring;Meripihkarengas;1;FALSE;;;;36;18;7;;KM 14717_8
SA;50010033;Eura;Kolmhaara;KM;14717;9;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;FALSE;27;24;8;;;;kolme reikää;KM 14717_9
SA;50010033;Eura;Kolmhaara;KM;14717;10;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber ring;Amber ring;Meripihkarengas;1;FALSE;;;;;;;paloja;KM 14717_10
SA;50010033;Eura;Kolmhaara;KM;14717;11;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber artefact;Amber artefact;Meripihkaesine;1;FALSE;25;17;8;;;;lähinnä lapionterän muotoinen;KM 14717_11
SA;777010025;Suomussalmi;Kalmosärkkä;KM;14829;219;7237045;3614621;199;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;44;26;10;;;;ei mittoja;KM 14829_219
SA;50010033;Eura;Kolmhaara;KM;14898;3;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;23;10;6;;;;reiällinen, tehty meripihkarenkaan palasesta;KM 14898_3
SA;50010033;Eura;Kolmhaara;KM;14898;4;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;17;10;6;;;;reiällinen, tehty meripihkarenkaan palasesta;KM 14898_4
SA;50010033;Eura;Kolmhaara;KM;14898;5;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;19;9;6;;;;reiällinen, tehty meripihkarenkaan palasesta;KM 14898_5
SA;50010033;Eura;Kolmhaara;KM;14898;6;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;19;11;6;;;;reiällinen, tehty meripihkarenkaan palasesta;KM 14898_6
SA;50010033;Eura;Kolmhaara;KM;14898;7;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;15;8;4;;;;reiällinen;KM 14898_7
SA;50010033;Eura;Kolmhaara;KM;14898;8;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;12;9;9;;;;reiällinen,alapäästään paksumpi;KM 14898_8
SA;50010033;Eura;Kolmhaara;KM;14898;9;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;14;11;5;;;;reiällinen;KM 14898_9
SA;50010033;Eura;Kolmhaara;KM;14898;10;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;TRUE;13;12;4;;;;reiällinen;KM 14898_10
