Phase;Site id;Collection;Main number;Subnumber;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish)
SA;973010028;KM;24750;1-1260;Oulu;Latokangas;7220700;3461680;74;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Asbestos Ware;Early Asbestos Ware;Vasb;1;asbesti;;FALSE;TRUE;FALSE;TL-ajoitukseen (811)
SA;1000002408;KM;24755;1-221;Savonlinna;Kylm„niemi a;6867384;3600157;80;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Middle and Late Neolithic Asbestos- and Organic Tempered Ware;P”lj„ Ware;P”lj„;1;asbesti;luu;FALSE;FALSE;TRUE;
SA;618010006;KM;24756;1-3;Savonlinna;Iso-Ruutlampi;6861301;3618146;80;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Asbestos Ware;Early Asbestos Ware;Vasb;1;asbesti;;FALSE;TRUE;FALSE;
SA;618010007;KM;24757;1-4;Savonlinna;Nuuvinlahti;6853880;3616331;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;hiekka;;TRUE;FALSE;FALSE;
SA;618010008;KM;24758;1-3;Savonlinna;Hievaslahti;6856380;3617833;82,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;kivimurska;;TRUE;FALSE;FALSE;
SA;618010008;KM;24758;1-3;Savonlinna;Hievaslahti;6856380;3617833;82,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010009;KM;24759;1-3;Savonlinna;Salilampi a ja b;6845946;3625604;82,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010011;KM;24761;1-6;Savonlinna;Honkaniemi;6846568;3626496;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;2;hiekka;;TRUE;FALSE;FALSE;
SA;618010011;KM;24761;1-6;Savonlinna;Honkaniemi;6846568;3626496;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010014;KM;24764;1-4;Savonlinna;Antikanniemi;6850102;3626703;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;FALSE;TRUE;FALSE;
SA;618010018;KM;24766;1-2;Savonlinna;Lasim„ki;6850359;3629025;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;FALSE;TRUE;FALSE;
SA;618010019;KM;24767;1-4;Savonlinna;Ristiniemi a;6851205;3628006;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Comb Ware;Comb Ware;Ka ?;;kivimurska;;TRUE;FALSE;FALSE;
SA;618010019;KM;24767;1-4;Savonlinna;Ristiniemi a;6851205;3628006;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010020;KM;24768;1-5;Savonlinna;Ristiniemi b;6851006;3628294;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;FALSE;TRUE;FALSE;
SA;618010020;KM;24768;1-5;Savonlinna;Ristiniemi b;6851006;3628294;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010022;KM;24770;1-5;Savonlinna;Multaniemi;6842669;3620769;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010024;KM;24772;1-3;Savonlinna;H„lv„njoki;6858011;3635360;80;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Asbestos Ware;Early Asbestos Ware;Vasb;1;asbesti;;TRUE;FALSE;FALSE;
SA;618010025;KM;24773;1-3;Savonlinna;Sammenkanta;6852065;3628245;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;FALSE;TRUE;FALSE;
SA;618010025;KM;24773;1-3;Savonlinna;Sammenkanta;6852065;3628245;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010027;KM;24775;1-2;Savonlinna;Kukkoniemi;6856287;3630419;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;TRUE;FALSE;FALSE;
SA;618010028;KM;24776;1-3;Savonlinna;Pusunm„ki;6852380;3627029;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;kiille;TRUE;FALSE;FALSE;
SA;618010030;KM;24778;1-10;Savonlinna;Heinniemi a;6851911;3627721;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Middle and Late Neolithic Asbestos- and Organic Tempered Ware;Kierikki Ware;Kierikki;3;luu;asbesti;FALSE;TRUE;FALSE;
SA;618010030;KM;24778;1-10;Savonlinna;Heinniemi a;6851911;3627721;80;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Middle and Late Neolithic Asbestos- and Organic Tempered Ware;P”lj„ Ware;P”lj„;1;asbesti;;FALSE;FALSE;TRUE;
SA;618010031;KM;24779;1-3;Savonlinna;Heinniemi b;6851968;3627869;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010032;KM;24780;1-3;Savonlinna;Pakkasharju a;6852047;3627625;79,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;kivimurska;;TRUE;FALSE;FALSE;
SA;618010032;KM;24780;1-3;Savonlinna;Pakkasharju a;6852047;3627625;79,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;asbesti;;TRUE;FALSE;FALSE;
SA;618010035;KM;24783;1-4;Savonlinna;Salkoniemi;6851939;3628771;79,3;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;TRUE;FALSE;FALSE;
SA;618010035;KM;24783;1-4;Savonlinna;Salkoniemi;6851939;3628771;79,3;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Middle and Late Neolithic Asbestos- and Organic Tempered Ware;P”lj„ Ware;P”lj„;1;asbesti;;FALSE;TRUE;FALSE;
SA;618010036;KM;24784;1-5;Savonlinna;Yl„-H„lv„;6855154;3637034;82,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Asbestos Ware;Early Asbestos Ware;Vasb;3;asbesti;;FALSE;TRUE;FALSE;
SA;618010037;KM;24785;1-3;Savonlinna;K„rensalmi;6861712;3641357;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;talkki, asbesti;TRUE;FALSE;FALSE;
SA;618010038;KM;24786;1-4;Savonlinna;K„p„l„m„ki;6859498;3639597;80;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;FALSE;TRUE;FALSE;
SA;618010041;KM;24788;1-2;Savonlinna;Mustaniemi;6854110;3623084;80;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Asbestos Ware;Early Asbestos Ware;Vasb;1;asbesti;;TRUE;FALSE;FALSE;
