Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;912010046;Sastamala;Liekolankatu;KM;18251;724;6810662;3281080;60;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 18251_724
SA;1000012003;Utajärvi;Pikkarainen ja Vesala;KM;18562;36;7173070;3473470;100;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;35;25;10;;;;;KM 18562_36
SA;1000012003;Utajärvi;Pikkarainen ja Vesala;KM;18562;81;7173070;3473470;100;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;30;15;6;;;;;KM 18562_81
SA;52010009;Evijärvi;Timonen 1;KM;18710;98;7044415;3317898;60;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;ei mittoja;KM 18710_98
SA;248010002;Kitee;Sirnihta;KM;18910;236;6867261;3640136;78;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;2 kpl, toinen levy;KM 18910_236
SA;52010009;Evijärvi;Timonen 1;KM;19050;173;7044415;3317898;60;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 19050_173
SA;52010009;Evijärvi;Timonen 1;KM;19050;492;7044415;3317898;60;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 19050_492
SA;52010052;Evijärvi;Kotikangas;KM;19261;361;7043477;3318676;65;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;;;;;;;;KM 19261_361
SA;91010026;Helsinki;Vartiokylän linnavuori;KM;19270;12;6680427;3396105;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;22;18;12;;;;;KM 19270_12
SA;92010031;Vantaa;Jönsas;KM;19275;439;6685309;3381283;31;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;33;27;10;;;;;KM 19275_439
SA;853010029;Turku;Kanttorinmäki;KM;19808;743;6714757;3241322;23;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 19808_743
SA;777010026;Suomussalmi;Nuolisärkkä;KM;19843;44;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;;;;;;;;KM 19843_44
SA;52010009;Evijärvi;Timonen 1;KM;20083;122;7044415;3317898;60;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 20083_122
SA;92010031;Vantaa;Jönsas;KM;20087;437;6685309;3381283;31;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;;;;;;;;KM 20087_437
SA;777010114;Suomussalmi;Kukkosaari;KM;20593;87;7201478;3592642;199;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;18;12;8;;;;;KM 20593_87
SA;52010071;Evijärvi;Isokangas;KM;20603;123;7047065;3316500;57;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 20603_123
SA;52010071;Evijärvi;Isokangas;KM;20603;699;7047065;3316500;57;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 20603_699
SA;52010071;Evijärvi;Isokangas;KM;20603;1341;7047065;3316500;57;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;;;;;;;;KM 20603_1341
SA;52010071;Evijärvi;Isokangas;KM;20603;1458;7047065;3316500;57;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 20603_1458
