Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,Category,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Type,Subtype,Subtype (Finnish),m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Subtype 2 (Finnish),Stone art (Finnish)
IA,680010005,Raisio,Laulumaa ja Römpötti,KM,15467,1,6717154.0,3235441.0,20,Iron artefact,Miekka,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,282.0,,,"Ponnessa, ponnenalusessa ja väistimessä metallilankaupotuksia",KM 15467_1,"22,18323433","60,47799891",Iron sword,Iron sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,400010250,Laitila,Untamalan Myllymäki,KM,15475,1,6767080.0,3209470.0,12,Iron artefact,Keihäänkärki; Petersen G,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,2.0,True,310.0,51.0,19.0,,,,,KM 15475_1,"21,63901794","60,90627707",Iron spearhead,Petersen G type iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,418010009,Lempäälä,Lempoinen,KM,15515,1,6804541.0,3326848.0,80,Iron artefact,Kirves,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1.0,True,90.0,47.0,15.0,,,,,KM 15515_1,"23,76414283","61,31068122",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,418010009,Lempäälä,Lempoinen,KM,15515,1,6804541.0,3326848.0,80,Iron artefact,Kirves,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1.0,True,90.0,47.0,15.0,,,,,KM 15515_1,"23,76414283","61,31068122",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,481010003,Masku,Määksmäki,KM,15518,1,6726584.0,3230344.0,20,Iron artefact,Keihäänkärki; Petersen E,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,2.0,True,,27.0,,,,,taivutettu,KM 15518_1,"22,07808211","60,55894665",Iron spearhead,Petersen E type iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,481010003,Masku,Määksmäki,KM,15518,1,6726584.0,3230344.0,20,Iron artefact,Keihäänkärki; Petersen E,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,2.0,True,,27.0,,,,,taivutettu,KM 15518_1,"22,07808211","60,55894665",Iron spearhead,Petersen E type iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,704000003,Rusko,Moisio-Rinnemaa,KM,15596,2,6725564.0,3237868.0,"32,5",Iron artefact,Keihäänkärki; Putkellinen,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1.0,True,136.0,31.0,,,,,,KM 15596_2,"22,21611006","60,55480025",Iron spearhead,Socketed iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,704000003,Rusko,Moisio-Rinnemaa,KM,15596,2,6725564.0,3237868.0,"32,5",Iron artefact,Keihäänkärki; Putkellinen,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1.0,True,136.0,31.0,,,,,,KM 15596_2,"22,21611006","60,55480025",Iron spearhead,Socketed iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,704010010,Rusko,Koismäki,KM,15599,1,6724880.0,3238760.0,30,Iron artefact,Solki; Soljen neula,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.0,False,,,,,,,Alanrolla 2 yleiskeramiikkaa ja :3 hioimen pala,KM 15599_1,"22,23321463","60,54926313",Iron brooch,Iron brooch pin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,704010010,Rusko,Koismäki,KM,15599,1,6724880.0,3238760.0,30,Iron artefact,Solki; Soljen neula,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.0,False,,,,,,,Alanrolla 2 yleiskeramiikkaa ja :3 hioimen pala,KM 15599_1,"22,23321463","60,54926313",Iron brooch,Iron brooch pin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,277010035,Jyväskylä,Taikinaisniemi,KM,15658,1,6863360.0,3426840.0,85,Iron artefact,Keihäänkärki,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,True,144.0,28.0,,,,,"Löydöt K-Suomen museossa, kuva Finnassa",KM 15658_1,"25,60638007","61,86998265",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
