Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;Category;Type (Finnish);Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Stray find;Cairn;Hoard;Other context;Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);PhotoID;X;Y
IA;220010002;Raasepori;Domargård I;KM;21634;1964;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1964;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1580;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1580;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;4;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;2 kpl paksusta kiekosta;KM 21634_4;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1665;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;17 kpl fragmentaarisia, Ei kuvattu.;KM 21634_1665;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1635;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;19 kpl fragmentaarisia, yksi kuonaantunut. Ei kuvattu.;KM 21634_1635;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1615;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;TRUE;129;119;98;;;;Paloista liimattu, hieman pallomainen ja paksu, tosi kovassa kuumuudessa ollut, kuonaantunut täysin molemmin puolin, mutta vain kiekon toiselta puoliskolta.;KM 21634_1615;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1361;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1361;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1971;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1971;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1635;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;19 kpl fragmentaarisia, yksi kuonaantunut. Ei kuvattu.;KM 21634_1635;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;22442;72;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1;FALSE;;;;;;;Fragmentti, ei kuvaa koska oli niin epäselvä (myöhempi huomio);KM 22442_72;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21917;146;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;Fragmentti, pallomainen;KM 21917_146;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21917;145;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;Fragmentti, reiän ympärillä leveä painanne.;KM 21917_145;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21917;89;6663430;3312339;25;Clay artefacts;"Muotti; upokas";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;3;FALSE;;;;;;;Kuonaantunut fragmentti putkimaisesta esineestä, melko ohuet seinät;KM 21917_89;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1971;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1971;23,62884517;60,03980989
IA;220010002;Raasepori;Domargård I;KM;21634;1964;6663430;3312339;25;Clay artefacts;Savikiekko;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1;FALSE;;;;;;;1 kpl fragment.;KM 21634_1964;23,62884517;60,03980989
