Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Ajoitusperuste,Subtype 2,Subtype 2 (Finnish)
BA,564010051,Oulu,Hangaskangas,KM,31379,24.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_24,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,26.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_26,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,29.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_29,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,31.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_31,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,40.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_40,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,47.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,siksak-koristelua,KM 31379_47,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,48.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,siksak-koristelua,KM 31379_48,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,49.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_49,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,56.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,siksak- ja uurreviivakoristelua,KM 31379_56,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,57.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_57,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,62.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_62,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,65.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_65,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,73.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_73,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,80.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_80,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,83.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_83,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,84.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,,KM 31379_84,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,87.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Other bone artefact,Other bone artefact,Luuesineen katkelma,1.0,False,,,,,,,siksak- ja uurreviivakoristelua,KM 31379_87,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,88.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,9.0,4.0,,,,,KM 31379_88,"25,78367254","64,89675774",136.0,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,89.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,11.0,5.0,,,,,KM 31379_89,"25,78367254","64,89675774",99.0,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,90.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,12.0,4.0,,,,,KM 31379_90,"25,78367254","64,89675774",79.0,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,91.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,11.0,4.0,,,,,KM 31379_91,"25,78367254","64,89675774",65.0,,,,,,,,,,,,,,
