Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish);PhotoID;X;Y
BA;140010001;Iisalmi;Jysmä;KM;18661;1-2;7055050;3495500;100;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;3;kiille;;TRUE;FALSE;FALSE;karsta (2);KM 18661_1-2;26,90589151;63,59685791
BA;729010029;Saarijärvi;Saarenpää;KM;18766;;6952073;3415237;110;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;3;asbesti;;TRUE;FALSE;FALSE;;KM 18766_;25,34280909;62,66323675
BA;x112;Pielavesi;Kuivaniemi;KM;18833;;7001651;3479576;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;TRUE;FALSE;FALSE;;KM 18833_;26,59193182;63,11724712
BA;140010003;Iisalmi;Haapakangas;KM;18901;1-5;7050550;3500650;89;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;TRUE;FALSE;karsta (2);KM 18901_1-5;27,00963438;63,55651934
BA;248010002;Kitee;Sirnihta;KM;18904;1-4;6867261;3640136;78;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Sirnihta Ware;Sirnihta;2;asbesti;;FALSE;TRUE;FALSE;;KM 18904_1-4;29,6618031;61,88631442
BA;4010014;Kauhava;Karkaus;KM;18908;1-7;7035422;3286689;27,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;3;asbesti;;FALSE;TRUE;FALSE;;KM 18908_1-7;22,73252897;63,35700734
BA;248010002;Kitee;Sirnihta;KM;18910;1-305;6867261;3640136;78;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Sirnihta Ware;Sirnihta;1;asbesti;;FALSE;FALSE;TRUE;karsta (6,135,142,229,255,263, 277);KM 18910_1-305;29,6618031;61,88631442
BA;248010002;Kitee;Sirnihta;KM;18910;1-305;6867261;3640136;78;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;kivimurska;talkki;FALSE;TRUE;FALSE;;KM 18910_1-305;29,6618031;61,88631442
BA;142010016;Iitti;Keidas;KM;18980;1-4;6766686;3468291;67;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;kivimurska;;TRUE;FALSE;FALSE;;KM 18980_1-4;26,41066505;61,00823095
BA;18010058;Askola;Taka-Piskulan Ruoksmaa;KM;19006;1-296;6718060;3423120;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;kiille;FALSE;TRUE;FALSE;karsta (153,155);KM 19006_1-296;25,59505609;60,56573385
BA;831010006;Taipalsaari;Vaateranta;KM;19239;1-870;6780780;3559700;79;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;TRUE;FALSE;FALSE;868 reikä;KM 19239_1-870;28,10482092;61,13149316
BA;577010024;Paimio;Toispuolojannummi;KM;19241;1-45;6716468;3263603;40,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;2;kivimurska;;FALSE;TRUE;FALSE;;KM 19241_1-45;22,69466517;60,48935369
BA;260010001;Kitee;Turusenniemi;KM;19253;1-25;6889637;3667723;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kiille;;TRUE;FALSE;FALSE;;KM 19253_1-25;30,20655646;62,075647
BA;260010001;Kitee;Turusenniemi;KM;19254;1-15;6889637;3667723;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kiille;;FALSE;TRUE;FALSE;;KM 19254_1-15;30,20655646;62,075647
BA;1000000141;Laitila;Lalla 1;KM;19265;1-104;6770310;3207015;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;orgaaninen;kivimurska;FALSE;FALSE;TRUE;;KM 19265_1-104;21,58907437;60,93332893
BA;108010024;Hämeenkyrö;Honkaharju;KM;19310;1-4;6838970;3300352;65;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Coastal Bronze Age pottery;pronssikautinen;3;kivimurska;;TRUE;FALSE;FALSE;kavionmuotoista leimaa;KM 19310_1-4;23,23355946;61,6063047
BA;1000000141;Laitila;Lalla 1;KM;19404;1-99;6770310;3207015;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;orgaaninen;kivimurska;FALSE;FALSE;TRUE;asbestia (67);KM 19404_1-99;21,58907437;60,93332893
BA;167010003;Joensuu;Varaslampi;KM;19471;1-1318;6947124;3643495;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;FALSE;TRUE;karsta (769);KM 19471_1-1318;29,79102139;62,60081755
BA;167010003;Joensuu;Varaslampi;KM;19471;1-1318;6947124;3643495;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;kiille;FALSE;FALSE;TRUE;karsta (53,373,605);KM 19471_1-1318;29,79102139;62,60081755
BA;777010026;Suomussalmi;Nuolisärkkä;KM;19538;1-14;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;FALSE;FALSE;TRUE;;KM 19538_1-14;29,4243359;65,20129711
BA;777010026;Suomussalmi;Nuolisärkkä;KM;19538;1-14;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Kjelmöy Ware;Kjelmöy;2;talkki;;FALSE;FALSE;TRUE;;KM 19538_1-14;29,4243359;65,20129711
BA;777010026;Suomussalmi;Nuolisärkkä;KM;19538;1-14;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;3;asbesti;;FALSE;TRUE;FALSE;;KM 19538_1-14;29,4243359;65,20129711
BA;777010056;Suomussalmi;Mikonsärkkä;KM;19540;1-6;7236404;3614044;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;TRUE;FALSE;FALSE;;KM 19540_1-6;29,43282705;65,20393286
BA;777010025;Suomussalmi;Kalmosärkkä;KM;19541;1-11;7237045;3614621;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;FALSE;TRUE;FALSE;reikiä (4);KM 19541_1-11;29,44567113;65,2094768
BA;777010026;Suomussalmi;Nuolisärkkä;KM;19843;1-136;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;kiille;FALSE;FALSE;FALSE;;KM 19843_1-136;29,4243359;65,20129711
BA;777010056;Suomussalmi;Mikonsärkkä;KM;19879;1-50;7236404;3614044;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;kiille;FALSE;FALSE;TRUE;karsta (3);KM 19879_1-50;29,43282705;65,20393286
BA;777010056;Suomussalmi;Mikonsärkkä;KM;19879;1-50;7236404;3614044;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;3;asbesti;;FALSE;TRUE;FALSE;;KM 19879_1-50;29,43282705;65,20393286
BA;777010056;Suomussalmi;Mikonsärkkä;KM;19879;1-50;7236404;3614044;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;kivimurska;asbesti;FALSE;FALSE;TRUE;;KM 19879_1-50;29,43282705;65,20393286
BA;777010026;Suomussalmi;Nuolisärkkä;KM;19880;1-6;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;kiille;FALSE;TRUE;FALSE;;KM 19880_1-6;29,4243359;65,20129711
BA;777010026;Suomussalmi;Nuolisärkkä;KM;19880;1-6;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;TRUE;FALSE;;KM 19880_1-6;29,4243359;65,20129711
BA;777010026;Suomussalmi;Nuolisärkkä;KM;19880;1-6;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;kivimurska;;TRUE;FALSE;FALSE;;KM 19880_1-6;29,4243359;65,20129711
BA;777010027;Suomussalmi;Kellolaisten Tuli;KM;19882;1-8;7237822;3614945;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;kiille;TRUE;FALSE;FALSE;;KM 19882_1-8;29,45323205;65,21632654
BA;777010027;Suomussalmi;Kellolaisten Tuli;KM;19882;1-8;7237822;3614945;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;TRUE;FALSE;FALSE;;KM 19882_1-8;29,45323205;65,21632654
BA;305010113;Kuusamo;Arskan mökki;KM;19884;1-10;7269641;3617014;218;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;3;talkki;;TRUE;FALSE;FALSE;;KM 19884_1-10;29,52462746;65,5007016
BA;146010023;Ilomantsi;Hemminsaari;KM;19886;1-7;6985856;3694135;144;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;TRUE;FALSE;FALSE;;KM 19886_1-7;30,81955978;62,92446025
BA;105010018;Hyrynsalmi;Vonkka 2;KM;19903;1-529;7177900;3571460;156;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Pottery;Lovozero Ware;Lovozero Ware;Lovozero;1;asbesti;;FALSE;TRUE;FALSE;;KM 19903_1-529;28,49402038;64,69134666
BA;50010032;Eura;Luistari;KM;20189;1-222;6787882;3238661;38;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;1;hiekka;;FALSE;TRUE;FALSE;karsta (149);KM 20189_1-222;22,14658916;61,11261932
BA;734010035;Salo;Katajamäki;KM;20251;1-708;6705416;3287408;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;kivimurska;;FALSE;FALSE;TRUE;;KM 20251_1-708;23,13845828;60,40364866
BA;1000003147;Ylitornio;Kenttämaa;KM;20268;1-156;7376261;3377913;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;kiille;;FALSE;TRUE;FALSE;;KM 20268_1-156;24,25783812;66,45381919
BA;777010117;Suomussalmi;Joenniemi;KM;20375;1-20;7216972;3597610;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;FALSE;TRUE;FALSE;;KM 20375_1-20;29,06843545;65,03503115
BA;777010117;Suomussalmi;Joenniemi;KM;20375;1-20;7216972;3597610;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;TRUE;FALSE;FALSE;;KM 20375_1-20;29,06843545;65,03503115
BA;777010117;Suomussalmi;Joenniemi;KM;20375;1-20;7216972;3597610;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;talkki;;FALSE;TRUE;FALSE;;KM 20375_1-20;29,06843545;65,03503115
BA;777010108;Suomussalmi;Kumpuniemi;KM;20387;1-5;7201161;3589543;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;TRUE;FALSE;FALSE;;KM 20387_1-5;28,88729337;64,8955655
BA;777010114;Suomussalmi;Kukkosaari;KM;20400;1-31;7201478;3592642;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;3;asbesti;;FALSE;TRUE;FALSE;tasapohjainen;KM 20400_1-31;28,95289744;64,89756391
BA;777010191;Suomussalmi;Luhtalamminsärkän pää;KM;20408;1-2;7191014;3607175;189;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;TRUE;FALSE;FALSE;;KM 20408_1-2;29,25169604;64,79944341
BA;777010025;Suomussalmi;Kalmosärkkä;KM;20413;1-49;7237045;3614621;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;FALSE;TRUE;FALSE;;KM 20413_1-49;29,44567113;65,2094768
BA;777010025;Suomussalmi;Kalmosärkkä;KM;20413;1-49;7237045;3614621;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;FALSE;FALSE;TRUE;;KM 20413_1-49;29,44567113;65,2094768
BA;777010056;Suomussalmi;Mikonsärkkä;KM;20414;1-31;7236404;3614044;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;FALSE;FALSE;TRUE;;KM 20414_1-31;29,43282705;65,20393286
BA;777010056;Suomussalmi;Mikonsärkkä;KM;20414;1-31;7236404;3614044;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;asbesti;;FALSE;TRUE;FALSE;;KM 20414_1-31;29,43282705;65,20393286
BA;777010026;Suomussalmi;Nuolisärkkä;KM;20415;1-11;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;FALSE;TRUE;FALSE;;KM 20415_1-11;29,4243359;65,20129711
BA;777010026;Suomussalmi;Nuolisärkkä;KM;20415;1-11;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;3;asbesti;;TRUE;FALSE;FALSE;;KM 20415_1-11;29,4243359;65,20129711
BA;777010026;Suomussalmi;Nuolisärkkä;KM;20415;1-11;7236095;3613658;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;FALSE;TRUE;FALSE;;KM 20415_1-11;29,4243359;65,20129711
BA;777010049;Suomussalmi;Maikonsärkkä;KM;20442;1-6;7236703;3615912;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;TRUE;FALSE;FALSE;;KM 20442_1-6;29,4729413;65,20596123
BA;47010056;Enontekiö;Pappilanhamina 1;KM;20468;1-7;7632407;3370669;418;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Kjelmöy Ware;Kjelmöy;2;asbesti;;TRUE;FALSE;FALSE;;KM 20468_1-7;23,79915247;68,74428512
BA;50010032;Eura;Luistari;KM;20552;1-243;6787882;3238661;38;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Coastal Bronze Age pottery;Paimio Ware;Paimio;1;kivimurska;;FALSE;FALSE;TRUE;;KM 20552_1-243;22,14658916;61,11261932
BA;734010025;Salo;Ketohaka;KM;20562;1-483;6705524;3287453;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;;;FALSE;FALSE;TRUE;;KM 20562_1-483;23,13915811;60,40463943
BA;777010114;Suomussalmi;Kukkosaari;KM;20593;1-266;7201478;3592642;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;2;asbesti;;TRUE;FALSE;FALSE;;KM 20593_1-266;28,95289744;64,89756391
BA;167010003;Joensuu;Varaslampi;KM;20731;1-154;6947124;3643495;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;FALSE;TRUE;;KM 20731_1-154;29,79102139;62,60081755
BA;167010003;Joensuu;Varaslampi;KM;20731;1-154;6947124;3643495;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;talkki;hiekka;FALSE;FALSE;TRUE;;KM 20731_1-154;29,79102139;62,60081755
BA;758010056;Sodankylä;Souvasaari;KM;20738;1-141;7540610;3488900;220;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Kjelmöy Ware;Kjelmöy;3;asbesti;;TRUE;FALSE;FALSE;;KM 20738_1-141;26,73102771;67,95131026
BA;777010025;Suomussalmi;Kalmosärkkä;KM;20793;1-6;7237045;3614621;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;talkki;TRUE;FALSE;FALSE;;KM 20793_1-6;29,44567113;65,2094768
BA;777010117;Suomussalmi;Joenniemi;KM;20801;1-28;7216972;3597610;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;talkki;FALSE;TRUE;FALSE;;KM 20801_1-28;29,06843545;65,03503115
BA;777010190;Suomussalmi;Niemenkangas;KM;20815;1-11;7190862;3603338;189;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;3;asbesti;;FALSE;TRUE;FALSE;;KM 20815_1-11;29,17091519;64,79928251
BA;777010191;Suomussalmi;Luhtalamminsärkän pää;KM;20816;1-2;7191014;3607175;189;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;TRUE;FALSE;FALSE;;KM 20816_1-2;29,25169604;64,79944341
BA;777010192;Suomussalmi;Autio;KM;20817;1-3;7191491;3603729;189;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Kjelmöy Ware;Kjelmöy;2;asbesti;;TRUE;FALSE;FALSE;koivuterva (1);KM 20817_1-3;29,17959112;64,80479977
BA;734010025;Salo;Ketohaka;KM;20838;1-1167;6705524;3287453;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;2;;;FALSE;FALSE;TRUE;;KM 20838_1-1167;23,13915811;60,40463943
BA;777010108;Suomussalmi;Kumpuniemi;KM;20854;1-7;7201161;3589543;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;1;talkki;;TRUE;FALSE;FALSE;;KM 20854_1-7;28,88729337;64,8955655
BA;777010108;Suomussalmi;Kumpuniemi;KM;20854;1-7;7201161;3589543;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;talkki;;TRUE;FALSE;FALSE;;KM 20854_1-7;28,88729337;64,8955655
BA;290010029;Kuhmo;Sylväjänniemi 1;KM;20903;1-246;7117650;3622710;162;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Kjelmöy Ware;Kjelmöy;2;asbesti;;FALSE;FALSE;TRUE;karsta (177, 188 C14-ajoitettu Hela-141);KM 20903_1-246;29,51707629;64,13671893
BA;290010029;Kuhmo;Sylväjänniemi 1;KM;20903;1-246;7117650;3622710;162;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Sarsa-Tomitsa Ware;Sarsa-Tomitsa Ware;ST;1;hiekka;;FALSE;FALSE;TRUE;;KM 20903_1-246;29,51707629;64,13671893
BA;777010191;Suomussalmi;Luhtalamminsärkän pää;KM;20935;1-2;7191014;3607175;189;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;TRUE;FALSE;FALSE;;KM 20935_1-2;29,25169604;64,79944341
BA;105010021;Hyrynsalmi;Nahkaniva;KM;20953;1-163;7175635;3571661;157;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;kiille;FALSE;TRUE;FALSE;;KM 20953_1-163;28,49711024;64,67099497
BA;777010027;Suomussalmi;Kellolaisten Tuli;KM;21017;1-22;7237822;3614945;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;TRUE;FALSE;FALSE;;KM 21017_1-22;29,45323205;65,21632654
BA;777010056;Suomussalmi;Mikonsärkkä;KM;21018;1-36;7236404;3614044;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Pottery;Säräisniemi 2 Ware;Anttila Ware;Anttila;2;talkki;;FALSE;FALSE;TRUE;karsta (15);KM 21018_1-36;29,43282705;65,20393286
BA;777010056;Suomussalmi;Mikonsärkkä;KM;21018;1-36;7236404;3614044;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;Pottery;Säräisniemi 2 Ware;Luukonsaari Ware;Luukonsaari;1;asbesti;;FALSE;TRUE;FALSE;;KM 21018_1-36;29,43282705;65,20393286
