Phase;Site id;Collection;Main number;Subnumber;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID;X;Y
SA;52010009;KM;18710;2096;Evijärvi;Timonen 1;7044415;3317898;60;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;37;26;8;;KM 18710_2096;23,34449807;63,45479043
SA;52010009;KM;18710;2159;Evijärvi;Timonen 1;7044415;3317898;60;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Anthropomorphic clay idol;Savi-idoli, ihminen;2;FALSE;;;;25;14;13;;KM 18710_2159;23,34449807;63,45479043
SA;x106;KM;18796;16;Lapua;Ylinen;6992403;3314150;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;2;FALSE;;;;20;12;10;;KM 18796_16;23,32911819;62,98720569
SA;844010001;KM;18802;8;Tervo;Mäntyranta;6983480;3487520;100;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;2;FALSE;;;;17;19;11;;KM 18802_8;26,75072941;62,9545909
SA;844010001;KM;18802;9;Tervo;Mäntyranta;6983480;3487520;100;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;2;FALSE;;;;39;22;16;;KM 18802_9;26,75072941;62,9545909
SA;424010006;KM;18900;56;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;2;FALSE;;;;22;18;;;KM 18900_56;26,15774932;60,5674144
SA;424010006;KM;18900;96;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;;;;;KM 18900_96;26,15774932;60,5674144
SA;424010006;KM;18900;123;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;2;FALSE;;;;;;;;KM 18900_123;26,15774932;60,5674144
SA;424010006;KM;18900;176;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;1;FALSE;;;;;;;yhdessä korsipainanteita;KM 18900_176;26,15774932;60,5674144
SA;424010006;KM;18900;309;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;FALSE;;;;;;;"""saviputki""";KM 18900_309;26,15774932;60,5674144
SA;424010006;KM;18900;328;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;2;FALSE;;;;;;;;KM 18900_328;26,15774932;60,5674144
SA;424010006;KM;18900;338;Loviisa;Andersby Kvarnbacken;6717720;3453980;25;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ball;Saviesine, pallo;1;FALSE;;;;;;;;KM 18900_338;26,15774932;60,5674144
